chapter,afinn,total,weight
-1,0.0017069872395220152,192,0.3277415499882269
0,0.001288087789258848,3459,0.5569369578807943
1,0.014174207627777883,2240,0.5039718267654358
10,0.009843499340315523,1567,0.46741707473558863
100,0.004037342349828829,2743,0.5273538126466895
101,0.026734817628850646,1776,0.47960642534180553
102,0.014223867740021542,1580,0.4682023131090424
103,0.006805050399930457,932,0.4228204648490124
104,0.004485141719954917,1433,0.4590862917639568
105,0.003564958124869522,1575,0.4679007538891247
106,-0.010379897335391719,938,0.42331929133032314
107,0.0061001081168285025,1066,0.4335143501692789
108,0.008533417001879548,1594,0.46904367934468966
109,4.564712709124309e-4,925,0.4222359255939986
11,0.019336408002377924,733,0.4049596304498005
110,-0.01646569510337289,2272,0.5055413415522055
111,0.017321524433453785,427,0.36981454665423824
112,-0.011243384350365619,942,0.42365072232177653
113,-0.006105579727005206,1243,0.44642562356867477
114,0.016473236639463474,650,0.3965779190981948
115,0.007475682262731924,899,0.42003989713725
116,0.00437151630418903,525,0.3825076766165401
117,-0.020486672969783116,478,0.3766396030598588
118,-0.010726787532758476,901,0.42021024204414725
119,-0.00243939694482519,2552,0.5187784169328237
12,-4.732663113651359e-4,885,0.41884068555814524
120,-0.005098197903072818,193,0.32798406509768463
121,-0.0018709761863871868,633,0.39477597532769637
122,0.015423135524117617,54,0.2776164394341171
123,-0.007512969455499858,1249,0.4468428023771106
124,0.0036581258737258225,1215,0.4444622936576874
125,-0.009012210601390765,1116,0.4372881317892215
126,-0.007838150502149283,1399,0.456898856354452
127,-0.004459912319340425,725,0.40417955394022603
128,-0.004837978818827404,1421,0.4583178601035828
129,-0.011900480204192673,590,0.3900712955818709
13,0.008043910369279223,1717,0.47625496910525605
130,-0.004168347879394378,1713,0.47602532782683793
131,-0.011891818842566255,437,0.3711946310143895
132,0.006344111018526233,1635,0.47148279614956323
133,-0.0010946497755014442,3595,0.5621808489896702
134,-0.002641352950432884,3347,0.5525380203186789
135,-0.0036552458000519727,4576,0.5973715993227795
14,0.0010713462721819171,761,0.40764725656521944
15,0.009249930998345798,1198,0.44325669344073065
16,0.004760769760025414,5547,0.6287616633062136
17,-0.010124362524152214,2304,0.507098505557537
18,0.0026632203607088456,1366,0.4547448765910354
19,0.003287946602652857,1217,0.4446034461587252
2,-0.0038040917732634107,1452,0.46029510456487266
20,0.01499739070371393,930,0.4226537380137562
21,0.0032118896023795676,1083,0.43480955492213397
22,0.025605234670434462,1663,0.473127836188139
23,0.006823566082667763,371,0.36164900238139147
24,0.015871520835062877,1671,0.4735948449176798
25,0.012184754477459179,285,0.3472655026075866
26,0.004705636204706392,1231,0.4455875513841206
27,0.008130446364940395,1694,0.4749302118003113
28,0.004851658133437325,1416,0.4579965277964835
29,-0.0018290629368629113,1215,0.4444622936576874
3,0.005090247029961653,5907,0.6397465788507124
30,0.0023734794658344877,294,0.3489014814776697
31,0.007233058940859427,865,0.4171063989228937
32,0.020457150633691995,5193,0.6176394374462938
33,0.009596192943756703,978,0.4265943954088207
34,0.00225617151660124,2232,0.5035774825053968
35,0.0059809121458203225,2617,0.5217349028537261
36,-0.008070510676652383,2830,0.5311522143006103
37,-0.010348389711158848,516,0.38141207792556897
38,-0.011025642642249688,398,0.36568381430128133
39,0.027891264645874284,272,0.3448374538035366
4,0,1670,0.47353654092342773
40,0.0038426138715630625,1585,0.46850330664826567
41,-0.022659379542218056,3797,0.5697858551112712
42,-0.006025475885501812,3653,0.5643862412753364
43,0.003376140106667482,313,0.35224395112897394
44,-0.006010624691516429,2058,0.4947946246056324
45,-0.00882222106970438,3560,0.5608411965740641
46,-0.002143544138406197,999,0.42828011885355816
47,0.0013562603867559317,936,0.4231532406678507
48,0.009111790854334605,3988,0.5767908242394667
49,0.017798895603308725,839,0.414813150310445
5,0.021685288545733948,750,0.40659916023251147
50,0.004218498551765253,1019,0.42986500242487924
51,0.001218012780491263,1527,0.4649763789525396
52,0.011111888291624385,728,0.4044727338151276
53,0.010899744281675996,1646,0.4721310286220708
54,-0.004091571818142164,8036,0.6995717261827751
55,0.021434829061456332,1908,0.48687683153879385
56,0.02459267361176583,1323,0.45189037761619716
57,0.009636354609678547,973,0.42618968341896485
58,-4.238811469726485e-4,1013,0.42939160188329295
59,0,936,0.4231532406678507
6,0.013911600328712206,834,0.4143669526480707
60,0.0012414405235541832,1491,0.4627469551548218
61,0.003214239768091114,1986,0.4910369368791501
62,-0.002026314540252997,575,0.38837695354849106
63,-0.003939744801881368,478,0.3766396030598588
64,-0.003568378616413769,3023,0.5393604278709412
65,0.01325757734227517,1002,0.42851911280515226
66,0.0018636615767124304,636,0.39509625426303524
67,0.011992789582900659,745,0.4061194654209541
68,0.022051347679508372,1208,0.4439671332807686
69,-0.031248558261425276,440,0.37160447662235463
7,-0.008925198826087576,951,0.42439320418046417
70,0.010895198019524155,884,0.41875456735910227
71,-0.017739851636247785,2282,0.5060292679239681
72,-0.007390007517517491,1665,0.4732447121794855
73,-0.0018378527805680608,2181,0.5010446143023676
74,0.008015909840626348,1650,0.4723661156083383
75,0.01260301748722112,1239,0.44614681904762765
76,-9.527028512913484e-4,878,0.418236551716902
77,0.016005961201888803,643,0.39583973280055773
78,0.009078072452924066,1669,0.4734782163728208
79,0.005406192999224193,940,0.4234851182725618
8,0.01679958204445782,962,0.4252946822833795
80,0.012049469943253432,908,0.4208045657105429
81,-0.004441161154952549,4392,0.5910781755318666
82,0.02654629194307703,1162,0.44066844625507867
83,0.004177330245077589,785,0.4099005302982385
84,0.012213362994588094,810,0.4122010010673482
85,0.00906706076282912,2078,0.495825059609445
86,0.010958351056481195,1855,0.4839938383279195
87,0.0022217478303553943,4937,0.6093760576924767
88,0.01442017359684284,1199,0.4433279010926811
89,-0.01822022949940048,1437,0.4593415752743594
9,0.00498839172248356,3610,0.5627529411926766
90,0.0065466977033397265,1058,0.4329003856333394
91,0.006518916445215672,2545,0.5184575735335589
92,-0.0034837217589113183,980,0.42675591546663644
93,0.003181344027403879,1629,0.47112812914917446
94,0.00768302415701889,1287,0.44945691318560504
95,0.004530497994450379,503,0.3798067485347568
96,-0.002103446380943,1837,0.4830038752240363
97,0.004142996919949743,246,0.3397257474358789
98,0.0041621321859137035,1036,0.4311968944606597
99,0.0023043470518192707,2455,0.5142883647469372
