chapter,bing,n,total,weight,percent
-1,negative,6,192,0.3277415499882269,0.03125
-1,positive,1,192,0.3277415499882269,0.005208333333333333
0,negative,109,3459,0.5569369578807943,0.03151199768719283
0,positive,101,3459,0.5569369578807943,0.029199190517490606
1,negative,43,2240,0.5039718267654358,0.019196428571428573
1,positive,74,2240,0.5039718267654358,0.033035714285714286
10,negative,43,1567,0.46741707473558863,0.02744097000638162
10,positive,49,1567,0.46741707473558863,0.031269942565411615
100,negative,94,2743,0.5273538126466895,0.03426904848705797
100,positive,85,2743,0.5273538126466895,0.030987969376594968
101,negative,26,1776,0.47960642534180553,0.01463963963963964
101,positive,63,1776,0.47960642534180553,0.03547297297297297
102,negative,40,1580,0.4682023131090424,0.02531645569620253
102,positive,49,1580,0.4682023131090424,0.0310126582278481
103,negative,16,932,0.4228204648490124,0.017167381974248927
103,positive,20,932,0.4228204648490124,0.02145922746781116
104,negative,32,1433,0.4590862917639568,0.022330774598743892
104,positive,30,1433,0.4590862917639568,0.0209351011863224
105,negative,25,1575,0.4679007538891247,0.015873015873015872
105,positive,29,1575,0.4679007538891247,0.018412698412698412
106,negative,45,938,0.42331929133032314,0.04797441364605544
106,positive,24,938,0.42331929133032314,0.0255863539445629
107,negative,27,1066,0.4335143501692789,0.025328330206378986
107,positive,32,1066,0.4335143501692789,0.0300187617260788
108,negative,57,1594,0.46904367934468966,0.035759096612296114
108,positive,60,1594,0.46904367934468966,0.037641154328732745
109,negative,36,925,0.4222359255939986,0.03891891891891892
109,positive,20,925,0.4222359255939986,0.021621621621621623
11,negative,22,733,0.4049596304498005,0.030013642564802184
11,positive,32,733,0.4049596304498005,0.04365620736698499
110,negative,121,2272,0.5055413415522055,0.053257042253521125
110,positive,63,2272,0.5055413415522055,0.02772887323943662
111,negative,15,427,0.36981454665423824,0.0351288056206089
111,positive,12,427,0.36981454665423824,0.02810304449648712
112,negative,63,942,0.42365072232177653,0.06687898089171974
112,positive,36,942,0.42365072232177653,0.03821656050955414
113,negative,54,1243,0.44642562356867477,0.04344328238133548
113,positive,31,1243,0.44642562356867477,0.0249396621078037
114,negative,24,650,0.3965779190981948,0.036923076923076927
114,positive,34,650,0.3965779190981948,0.052307692307692305
115,negative,19,899,0.42003989713725,0.021134593993325918
115,positive,28,899,0.42003989713725,0.03114571746384872
116,negative,23,525,0.3825076766165401,0.04380952380952381
116,positive,18,525,0.3825076766165401,0.03428571428571429
117,negative,16,478,0.3766396030598588,0.03347280334728033
117,positive,8,478,0.3766396030598588,0.016736401673640166
118,negative,36,901,0.42021024204414725,0.03995560488346282
118,positive,23,901,0.42021024204414725,0.025527192008879023
119,negative,108,2552,0.5187784169328237,0.04231974921630094
119,positive,81,2552,0.5187784169328237,0.031739811912225704
12,negative,33,885,0.41884068555814524,0.03728813559322034
12,positive,21,885,0.41884068555814524,0.023728813559322035
120,negative,10,193,0.32798406509768463,0.05181347150259067
120,positive,4,193,0.32798406509768463,0.02072538860103627
121,negative,11,633,0.39477597532769637,0.017377567140600316
121,positive,16,633,0.39477597532769637,0.02527646129541864
122,positive,1,54,0.2776164394341171,0.018518518518518517
123,negative,59,1249,0.4468428023771106,0.04723779023218575
123,positive,33,1249,0.4468428023771106,0.02642113690952762
124,negative,33,1215,0.4444622936576874,0.027160493827160494
124,positive,38,1215,0.4444622936576874,0.031275720164609055
125,negative,56,1116,0.4372881317892215,0.05017921146953405
125,positive,19,1116,0.4372881317892215,0.017025089605734768
126,negative,48,1399,0.456898856354452,0.034310221586847746
126,positive,30,1399,0.456898856354452,0.021443888491779844
127,negative,25,725,0.40417955394022603,0.034482758620689655
127,positive,21,725,0.40417955394022603,0.028965517241379312
128,negative,46,1421,0.4583178601035828,0.03237156931738212
128,positive,36,1421,0.4583178601035828,0.025334271639690358
129,negative,28,590,0.3900712955818709,0.04745762711864407
129,positive,17,590,0.3900712955818709,0.0288135593220339
13,negative,42,1717,0.47625496910525605,0.0244612696563774
13,positive,64,1717,0.47625496910525605,0.037274315666860805
130,negative,45,1713,0.47602532782683793,0.02626970227670753
130,positive,37,1713,0.47602532782683793,0.021599532983070636
131,negative,25,437,0.3711946310143895,0.057208237986270026
131,positive,10,437,0.3711946310143895,0.02288329519450801
132,negative,68,1635,0.47148279614956323,0.04159021406727829
132,positive,61,1635,0.47148279614956323,0.03730886850152905
133,negative,136,3595,0.5621808489896702,0.03783031988873435
133,positive,117,3595,0.5621808489896702,0.032545201668984704
134,negative,127,3347,0.5525380203186789,0.03794442784583209
134,positive,93,3347,0.5525380203186789,0.027786077083955783
135,negative,173,4576,0.5973715993227795,0.037805944055944056
